X,Y,施設名,施設名かな,所在地,地区名,TEL,FAX,詳細情報,URL,小分類,施設ID,コード,H27生徒数,H23生徒数
135.5189473,34.69630011,大阪市立滝川小学校,おおさかしりつたきがわしょうがっこう,北区天満1-24-15,北区,06-6351-1582,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511000,小学校,111,15101,215,184
135.5131059,34.69815797,大阪市立堀川小学校,おおさかしりつほりかわしょうがっこう,北区東天満2-10-7,北区,06-6358-3336,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511001,小学校,289,15102,600,531
135.5067533,34.69666089,大阪市立西天満小学校,おおさかしりつにしてんましょうがっこう,北区西天満3-12-21,北区,06-6364-2222,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511002,小学校,290,15103,189,163
135.5137251,34.70851897,大阪市立菅北小学校,おおさかしりつかんぼくしょうがっこう,北区菅栄町9-5,北区,06-6358-1851,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511007,小学校,291,15104,231,239
135.5153751,34.71343297,大阪市立豊崎東小学校,おおさかしりつとよさきひがししょうがっこう,北区長柄中2-3-30,北区,06-6351-4920,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511010,小学校,293,15105,261,305
135.5059583,34.71276689,大阪市立豊崎本庄小学校,おおさかしりつとよさきほんじょうしょうがっこう,北区本庄西2-1-16,北区,06-6371-0638,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511011,小学校,294,15106,389,453
135.4939469,34.71346397,大阪市立中津小学校,おおさかしりつなかつしょうがっこう,北区中津3-34-18,北区,06-6371-2047,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511012,小学校,295,15107,309,323
135.4827002,34.70368592,大阪市立大淀小学校,おおさかしりつおおよどしょうがっこう,北区大淀中4-10-33,北区,06-6451-3400,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511013,小学校,296,15108,384,358
135.5139333,34.716744,大阪市立豊仁小学校,おおさかしりつほうじんしょうがっこう,北区長柄西2-6-20,北区,06-6351-0500,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511015,小学校,298,15109,296,274
135.5003643,34.71238108,大阪市立豊崎小学校,おおさかしりつとよさきしょうがっこう,北区豊崎4-5-9,北区,06-6371-0006,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511016,小学校,299,15110,156,152
135.5067782,34.70477817,大阪市立扇町小学校,おおさかしりつおうぎまちしょうがっこう,北区扇町2-7-24,北区,06-6363-0192,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e511017,小学校,874,15111,379,315
135.5273561,34.69659997,大阪市立桜宮小学校,おおさかしりつさくらのみやしょうがっこう,都島区東野田町1-10-19,都島区,06-6351-1577,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521030,小学校,3018,15201,368,343
135.5241923,34.70298914,大阪市立中野小学校,おおさかしりつなかのしょうがっこう,都島区中野町3-10-5,都島区,06-6352-3258,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521031,小学校,2976,15202,444,385
135.5335613,34.71821414,大阪市立高倉小学校,おおさかしりつたかくらしょうがっこう,都島区高倉町3-3-10,都島区,06-6922-3301,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521032,小学校,2964,15203,817,870
135.5215223,34.72165603,大阪市立淀川小学校,おおさかしりつよどがわしょうがっこう,都島区毛馬町3-5-39,都島区,06-6921-0001,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521033,小学校,3039,15204,371,476
135.5282192,34.70726689,大阪市立都島小学校,おおさかしりつみやこじましょうがっこう,都島区都島本通3-10-3,都島区,06-6921-1434,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521034,小学校,3003,15205,408,633
135.5373558,34.71346103,大阪市立内代小学校,おおさかしりつうちんだいしょうがっこう,都島区内代町3-4-6,都島区,06-6954-1500,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521035,小学校,3028,15206,191,231
135.5341919,34.70809989,大阪市立東都島小学校,おおさかしりつひがしみやこじましょうがっこう,都島区都島本通4-24-20,都島区,06-6921-2955,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521036,小学校,3011,15207,338,373
135.5252999,34.72312792,大阪市立大東小学校,おおさかしりつだいとうしょうがっこう,都島区毛馬町2-11-111,都島区,06-6925-7861,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521037,小学校,3032,15208,299,372
135.5261138,34.7195,大阪市立友渕小学校,おおさかしりつともぶちしょうがっこう,都島区友渕町1-3-123,都島区,06-6921-3700,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521038,小学校,3050,15209,628,421
135.5223779,34.71690311,大阪市立友渕小学校分校,おおさかしりつともぶちしょうがっこうぶんこう,都島区友渕町1-3-187,都島区,06-6921-2011,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e521038,小学校,3029,15210,781,405
135.4832722,34.69365594,大阪市立福島小学校,おおさかしりつふくしましょうがっこう,福島区福島4-5-6,福島区,06-6441-6003,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e531060,小学校,3563,15301,281,219
135.4810078,34.69223303,大阪市立玉川小学校,おおさかしりつたまがわしょうがっこう,福島区玉川2-13-16,福島区,06-6441-6060,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e531061,小学校,3542,15302,414,357
135.4736331,34.68582197,大阪市立野田小学校,おおさかしりつのだしょうがっこう,福島区野田5-13-22,福島区,06-6461-0520,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e531062,小学校,3573,15303,647,498
